tconst,original_title
4972,The Birth of a Nation
6864,Intolerance: Love's Struggle Throughout the Ages
12364,Körkarlen
13257,Häxan
13442,"Nosferatu, eine Symphonie des Grauens"
15864,The Gold Rush
16220,The Phantom of the Opera
16847,Faust: Eine deutsche Volkssage
17075,The Lodger: A Story of the London Fog
17136,Metropolis
18455,Sunrise: A Song of Two Humans
18578,Wings
18737,Die Büchse der Pandora
19254,La passion de Jeanne d'Arc
19702,Blackmail
20629,All Quiet on the Western Front
20640,Animal Crackers
20697,Der blaue Engel
21749,City Lights
22100,M - Eine Stadt sucht einen Mörder
22286,The Public Enemy
22835,Dr. Jekyll and Mr. Hyde
22958,Grand Hotel
23042,I Am a Fugitive from a Chain Gang
23427,Scarface
23563,Das Testament des Dr. Mabuse
23622,Trouble in Paradise
24034,42nd Street
24216,King Kong
24844,L'Atalante
25316,It Happened One Night
25878,The Thin Man
25913,Triumph des Willens
26029,The 39 Steps
26174,Captain Blood
26752,Mutiny on the Bounty
26778,A Night at the Opera
27125,Top Hat
27260,After the Thin Man
27652,Fury
27977,Modern Times
27996,Mr. Deeds Goes to Town
28010,My Man Godfrey
28096,The Petrified Forest
28333,Swing Time
28597,The Awful Truth
28772,A Day at the Races
28950,La grande illusion
29162,Lost Horizon
29284,My Favorite Wife
29583,Snow White and the Seven Dwarfs
29843,The Adventures of Robin Hood
29850,Aleksandr Nevskiy
29870,Angels with Dirty Faces
29947,Bringing Up Baby
30241,Holiday
30287,Jezebel
30341,The Lady Vanishes
30993,You Can't Take It with You
31210,Dark Victory
31225,Destry Rides Again
31381,Gone with the Wind
31385,"Goodbye, Mr. Chips"
31398,Gunga Din
31455,The Hunchback of Notre Dame
31679,Mr. Smith Goes to Washington
31725,Ninotchka
31762,Only Angels Have Wings
31867,The Roaring Twenties
31885,La règle du jeu
31971,Stagecoach
32138,The Wizard of Oz
32143,The Women
32145,Wuthering Heights
32455,Fantasia
32484,Foreign Correspondent
32551,The Grapes of Wrath
32553,The Great Dictator
32599,His Girl Friday
32701,The Letter
32904,The Philadelphia Story
32910,Pinocchio
32976,Rebecca
33045,The Shop Around the Corner
33152,The Thief of Bagdad
33373,Ball of Fire
33467,Citizen Kane
33717,High Sierra
33729,How Green Was My Valley
33804,The Lady Eve
33836,The Little Foxes
33870,The Maltese Falcon
33891,Meet John Doe
34167,Sergeant York
34240,Sullivan's Travels
34248,Suspicion
34583,Casablanca
34862,Holiday Inn
35015,The Magnificent Ambersons
35093,Mrs. Miniver
35140,"Now, Voyager"
35169,The Palm Beach Story
35211,The Pride of the Yankees
35279,Saboteur
35423,Kate & Leopold
35446,To Be or Not to Be
35575,Yankee Doodle Dandy
35979,Heaven Can Wait
36112,The Life and Death of Colonel Blimp
36342,Shadow of a Doubt
36613,Arsenic and Old Lace
36775,Double Indemnity
36855,Gaslight
36868,The Best Years of Our Lives
36872,Going My Way
37008,Laura
37017,Lifeboat
37059,Meet Me in St. Louis
37101,"Murder, My Sweet"
37382,To Have and Have Not
37415,The Uninvited
37469,The Woman in the Window
37515,And Then There Were None
37558,Brief Encounter
37635,Dead of Night
37674,Les enfants du paradis
37865,Leave Her to Heaven
37884,The Lost Weekend
37913,Mildred Pierce
37988,The Picture of Dorian Gray
38057,Scarlet Street
38109,Spellbound
38348,La belle et la bête
38355,The Big Sleep
38559,Gilda
38574,Great Expectations
38650,It's a Wonderful Life
38669,The Killers
38733,A Matter of Life and Death
38762,My Darling Clementine
38787,Notorious
38854,The Postman Always Rings Twice
38890,Roma città aperta
38969,Song of the South
38991,The Stranger
39190,The Bishop's Wife
39192,Black Narcissus
39302,Dark Passage
39416,Gentleman's Agreement
39420,The Ghost and Mrs. Muir
39628,Miracle on 34th Street
39631,Monsieur Verdoux
39689,Out of the Past
39694,The Paradine Case
40068,Bud Abbott Lou Costello Meet Frankenstein
40369,Fort Apache
40416,Hamlet
40506,Key Largo
40522,Ladri di biciclette
40525,The Lady from Shanghai
40536,Letter from an Unknown Woman
40613,Mr. Blandings Builds His Dream House
40636,The Naked City
40662,Oliver Twist
40724,Red River
40725,The Red Shoes
40823,"Sorry, Wrong Number"
40897,The Treasure of the Sierra Madre
40979,Yoidore tenshi
41090,Adam's Rib
41113,All the King's Men
41154,Banshun
41452,The Heiress
41546,Kind Hearts and Coronets
41699,Nora inu
41716,On the Town
41719,Orphée
41841,Sands of Iwo Jima
41866,She Wore a Yellow Ribbon
41959,The Third Man
41996,Twelve O'Clock High
42041,White Heat
42192,All About Eve
42208,The Asphalt Jungle
42276,Born Yesterday
42369,D.O.A.
42451,Father of the Bride
42530,Gun Crazy
42531,The Gunfighter
42546,Harvey
42593,In a Lonely Place
42619,Journal d'un curé de campagne
42788,Night and the City
42804,Los olvidados
42876,Rashômon
42895,Rio Grande
42994,Stage Fright
43014,Sunset Blvd.
43137,Winchester '73
43265,The African Queen
43278,An American in Paris
43338,Ace in the Hole
43456,The Day the Earth Stood Still
43686,Jeux interdits
43924,A Place in the Sun
43949,Quo Vadis
44008,Scrooge
44079,Strangers on a Train
44081,A Streetcar Named Desire
44121,The Thing from Another World
44391,The Bad and the Beautiful
44672,The Greatest Show on Earth
44706,High Noon
44741,Ikiru
44837,Limelight
44916,Monkey Business
44953,The Naked Spur
45061,The Quiet Man
45152,Singin' in the Rain
45274,Umberto D.
45296,Viva Zapata!
45537,The Band Wagon
45555,The Big Heat
45793,From Here to Eternity
45810,Gentlemen Prefer Blondes
45883,Hondo
45888,House of Wax
45891,How to Marry a Millionaire
45897,I Confess
45943,Julius Caesar
46126,Niagara
46250,Roman Holiday
46268,Le salaire de la peur
46303,Shane
46345,Sommaren med Monika
46359,Stalag 17
46438,Tôkyô monogatari
46478,Ugetsu monogatari
46487,Les vacances de Monsieur Hulot
46521,I vitelloni
46534,The War of the Worlds
46672,"20,000 Leagues Under the Sea"
46754,The Barefoot Contessa
46816,The Caine Mutiny
46889,The Dam Busters
46911,Les diaboliques
46912,Dial M for Murder
47034,Gojira
47136,Johnny Guitar
47296,On the Waterfront
47396,Rear Window
47422,River of No Return
47437,Sabrina
47445,Sanshô dayû
47472,Seven Brides for Seven Brothers
47478,Shichinin no samurai
47522,A Star Is Born
47528,La strada
47573,Them!
47673,White Christmas
47811,All That Heaven Allows
47849,Bad Day at Black Rock
47892,Bob le flambeur
48021,Du rififi chez les hommes
48028,East of Eden
48140,Guys and Dolls
48261,Kiss Me Deadly
48281,The Ladykillers
48342,The Man from Laramie
48347,The Man with the Golden Arm
48356,Marty
48380,Mister Roberts
48424,The Night of the Hunter
48445,Oklahoma!
48452,Ordet
48473,Pather Panchali
48545,Rebel Without a Cause
48605,The Seven Year Itch
48641,Sommarnattens leende
48728,To Catch a Thief
48750,The Trouble with Harry
48956,Aparajito
48960,Around the World in 80 Days
48977,The Bad Seed
49038,Bus Stop
49096,The Court Jester
49223,Forbidden Planet
49261,Giant
49314,High Society
49406,The Killing
49408,The King and I
49456,Lust for Life
49470,The Man Who Knew Too Much
49513,Moby Dick
49730,The Searchers
49833,The Ten Commandments
49902,Un condamné à mort s'est échappé ou Le vent souffle où il veut
49966,Written on the Wind
50083,12 Angry Men
50086,3:10 to Yuma
50105,An Affair to Remember
50212,The Bridge on the River Kwai
50280,The Curse of Frankenstein
50356,The Enemy Below
50371,A Face in the Crowd
50419,Funny Face
50468,Gunfight at the O.K. Corral
50539,The Incredible Shrinking Man
50613,Kumonosu-jô
50634,Letyat zhuravli
50658,Love in the Afternoon
50706,Mon oncle
50766,Night of the Demon
50783,Le notti di Cabiria
50798,Old Yeller
50825,Paths of Glory
50976,Det sjunde inseglet
50986,Smultronstället
51036,Sweet Smell of Success
51201,Witness for the Prosecution
51207,The Wrong Man
51337,The 7th Voyage of Sinbad
51378,Ascenseur pour l'échafaud
51383,Auntie Mame
51406,Bell Book and Candle
