tconst,worldwide_lifetime_gross
4972,16779212
13257,91627228
16220,154649125
17136,69131860
19702,2340411
22958,172945750
23427,115695182
24034,392000694
24216,556906378
26029,5520368
27125,162242684
27652,211822697
29583,184925486
30241,205850134
30287,723192705
31455,325338851
32138,25407411
32143,50007546
32455,90874570
32976,538983207
34167,16364924
34248,1308242
34583,4376287
37008,20000000
38559,49939757
38787,44420167
38991,82410456
40416,4770222
40662,42580321
40724,226945087
41154,8618766
41699,745013115
41719,123276807
42369,18090065
42546,54589558
43456,233093859
43949,35294470
44008,325286646
44672,36000000
45883,896678241
45888,68766121
46126,232617430
46303,178062759
46359,335062621
47034,524976069
47437,53696278
47522,436188866
47528,375658750
47573,37930465
48281,76665191
48356,630162448
48452,352794081
49261,23180087
49408,11993021
50086,162242684
50212,27200000
50613,35164920
51554,215862692
51658,85120254
52357,118686937
52365,61698899
52618,94061311
52948,244232688
53270,245527149
53580,25819961
53619,137298489
54047,162360636
57413,164115897
54130,694394724
54215,32041845
54331,1844917
54387,123729176
54407,55405035
54997,157563598
55614,44063287
55928,589580482
56059,42593455
56193,1071255
56218,96105910
56736,128799509
56923,73279888
56937,57777778
57129,177311151
57163,86493046
57372,273961019
57449,29699345
57611,61404394
57877,46357676
58329,60917189
58331,349546142
58385,72632653
58777,236412453
59017,177584879
59260,216639112
59274,70009308
59742,159428329
59825,50605163
60086,35060882
60176,392000694
60315,426074373
60390,222446882
60827,22428990
60955,237202299
61452,616502912
61619,76432727
61770,130834852
62480,271457301
62622,65802496
62765,66468985
62952,82410456
63385,42580321
63442,362211740
63462,38075318
63611,1009281898
63678,123726688
63688,124305181
63850,352114312
64276,123276
64505,176070171
64541,64811540
65126,252276927
65234,28817291
65377,100489151
65528,50605163
66026,81600000
66206,61749765
66434,167327174
66491,897690072
66580,9975737
66808,136200
66831,177427090
66921,26904636
67023,27426335
67128,19412993
67309,170458922
67334,103166989
67741,21360215
67800,11168712
68646,246120986
68931,76130093
69113,181674817
69281,243006126
69293,30002758
69895,54806823
69947,159330280
69762,424208848
70047,441306145
70608,321669741
70511,96822421
70643,55060212
70666,414351546
70698,105011053
70707,18344729
70735,118890272
70948,109115308
70849,36182181
70917,38805380
71110,100489151
71402,49562710
71222,18529730
71455,79666653
71746,47386287
71771,191466556
71577,353642274
71877,352794081
72271,107363905
72281,132274484
72431,86273333
72308,116000000
73312,20123742
73195,471411300
73440,1029721
73705,701729206
73707,773350147
73747,103370127
73631,25852764
73812,10514
74156,35294470
74285,84790678
74751,556906378
74811,40492652
74958,23690757
75005,119974972
74899,127420861
75612,216601214
75148,155929020
75265,436188866
75648,100489151
75686,38287178
75925,28121100
75784,50750000
75860,306889114
76054,160846332
76504,335062621
76150,48623572
76162,141861243
76590,10777375
76740,6014
76759,538375067
77355,182057016
77402,102278712
77416,49074379
77451,39439355
77588,123726688
77631,396271103
77651,47160000
77681,70009308
77713,1278650
77742,10432366
77745,40170558
77766,471411300
77869,897690072
77889,46733235
77914,87423861
77928,35000000
78087,83188165
78346,300451603
78504,25407411
78748,106285522
78767,107516369
79261,15313606
79501,375658750
79522,449326618
79540,243006126
79638,579707738
79714,1027082707
79817,173567581
79871,193921372
79944,52223306
80009,549368315
80130,67062123
80339,83453539
80354,339379
80569,45719985
80661,31899000
80716,77211836
80749,46201432
80923,220021259
80979,4017462
81114,671382
81353,76182388
81383,57197876
81505,46998772
81554,10389003
81573,108185706
81698,11715321
82031,48147945
82096,246120986
82186,493214993
82198,63523283
82269,89520336
82348,148675066
82484,20962615
82495,255614941
82694,375658750
82782,100734718
82869,7034698
82933,85446075
82971,389925971
82979,40382659
83131,104545505
83169,701796444
83190,173965010
83511,2797501328
83564,136853506
83658,259334548
83739,24959607
83943,40445129
83944,125212904
83987,193772504
84335,82087155
84516,95437994
84522,1033928303
84827,400063852
84726,78912963
84934,27639579
85210,426505244
85382,30987695
85404,552639571
85701,694394724
85811,204313400
86022,93621340
86154,32041845
86200,63541777
86216,2494480
86250,115695182
86425,108423749
86525,17343596
84777,59371303
84787,31505287
84805,177200000
86873,92455742
84809,122126687
86879,204681899
87015,623726085
86960,119208989
86969,201858461
87056,325286646
87075,4389334
86993,136333522
87089,25928721
87182,30925690
87277,80039064
87469,333107271
87538,359126022
87800,115695182
87909,100129872
87985,50950296
87995,213928762
88024,87528173
88172,328718434
88247,78371200
88763,381906762
88846,483866518
88930,101209702
88944,321457747
88979,43980821
88993,5000000
89003,49562710
89013,320290989
89114,119682635
89155,654264015
89175,41002607
89469,356700357
89560,351583407
89881,4164283
89885,2023414
89927,131095990
89941,167805466
90329,66899242
90583,50445860
90605,381509870
90756,8618766
90859,302469017
90887,43095175
90888,61141030
90966,62134225
87332,296187079
91159,300854823
91203,15843608
91217,320290989
91223,208076205
91369,83850267
91445,55181129
91495,17356268
91538,141337989
91670,7248490
91763,138545632
91867,21041453
91875,9380029
91886,1500000
91954,2850707
92076,107363905
92099,32168970
92563,17186348
92610,38026103
92618,741847937
92644,119208989
92666,22942221
92675,33542457
93058,46357676
92890,214577242
92925,209196298
93075,133960541
93185,525687703
93378,218791811
93409,285444603
93493,3752428
93603,441809770
93512,466364845
93605,3369307
93578,366101666
93677,154649125
93693,91244913
93793,173469516
93773,160542134
93870,53425389
93886,340487836
93894,38122105
94035,31198531
94291,134748021
94715,218340595
94737,133440870
94625,18948425
94894,52090187
94919,43095175
95016,388156011
95174,897690072
95488,1189315
95583,671382
95800,203509374
95953,354825435
95956,189015611
96061,325286646
95963,370541256
96438,329803958
96446,190213455
96320,216614388
96764,8083123
96874,332500002
96895,411508343
97138,19075720
97235,16549477
97428,296187079
97240,4729352
97441,60040976
97493,69721966
97499,10161099
97637,65716126
97576,474171806
97733,285444603
97770,131095990
98141,54700105
98084,113118226
98320,95696996
98354,1153337496
98546,579707738
98575,47386287
98663,25407411
99077,160112671
99088,245077583
99165,15691192
99012,299820798
99422,162738726
99423,388156011
99348,424208848
99582,45158254
99785,476684675
99653,505703557
99800,19438638
99810,200512643
99938,201957688
100029,24271196
100142,2960492
100157,246999039
100201,213525736
100263,76347426
100403,160542134
100405,463406268
100485,13004504
100502,242688965
100507,155929020
99726,4770222
100514,80693537
99740,353133898
100758,201965915
100802,358372926
100814,10307987
101026,1005973645
101272,191502426
101316,50023780
101507,57529070
101414,1264434525
101453,15565363
101516,363258859
101587,179033791
101745,448906865
101786,4603929
101829,22605153
102057,300854823
102005,7434726
102059,26351322
102070,17218080
102250,203388186
102138,218340595
102175,43882682
102293,68673228
102303,4102526
102492,59489799
102614,39673161
102526,47624353
102685,133718711
102558,8479793
102782,2807854
102803,46704056
102926,272742922
102943,1228108
102945,174999005
103130,595802
103247,34793160
103594,7191399
103596,55405035
103639,1050693953
103644,106285522
103759,10606422
103767,321457747
103772,352927224
103776,266892996
104029,122444772
103859,131052444
103874,215862692
104070,149022650
104231,137783840
104237,78382433
104257,243240178
104412,177395557
104438,35208854
104868,50752337
104691,75505856
104692,32100816
